Automne;rentreeScolaire;codeRegion;region;nbDecrocheurs;effectif16a29;tauxDecrochage
2021;2020;84;Auvergne-Rhône-Alpes;7644;67080;11,4%
2021;2020;27;Bourgogne-Franche-Comté;2866;23589;12,1%
2021;2020;53;Bretagne;2640;27638;9,6%
2021;2020;24;Centre-Val de Loire;2270;21647;10,5%
2021;2020;94;Corse;286;2062;13,9%
2021;2020;44;Grand Est;6723;53021;12,7%
2021;2020;01;Guadeloupe;747;6842;10,9%
2021;2020;03;Guyane;1135;6943;16,3%
2021;2020;32;Hauts-de-France;10435;69762;15,0%
2021;2020;11;Île-de-France;11717;103092;11,4%
2021;2020;04;La Réunion;2335;15023;15,5%
2021;2020;02;Martinique;632;5050;12,5%
2021;2020;13;Mayotte;602;5991;10,0%
2021;2020;28;Normandie;3817;29798;12,8%
2021;2020;75;Nouvelle-Aquitaine;5439;46119;11,8%
2021;2020;76;Occitanie;6231;48006;13,0%
2021;2020;00;TOM;9;99;9,1%
2021;2020;52;Pays de la Loire;3733;32237;11,6%
2021;2020;93;Provence-Alpes-Côte d'Azur;6222;43181;14,4%
