GROUPE_FORMATION;TYPE_GROUPE_FORMATION;LIBELLE_COURT;LIBELLE_LONG;LIBELLE_EDITION;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE
G0003;TG01;CONSTRUCTION DUR BTP;CONSTRUCTION DURABLE DU BATIMENT BTP;Construction durable du bâtiment et des travaux publics;01/09/2019;;22/05/2025;
G0004;TG01;GEST ADMIN TRANS LOG;GESTION ADMINISTRATIVE TRANS LOGISTIQUE;Gestion administrative, du transport et de la logistique;01/09/2019;;22/05/2025;
G0005;TG01;RELATION CLIENT;RELATION CLIENT;Relation client;01/09/2019;;22/05/2025;
G0006;TG01;MER;MER;Mer;01/09/2019;;22/05/2025;
G0007;TG01;INDUST GRAPH COM;INDUSTRIES GRAPHIQUES ET COMMUNICATION;Industries graphiques et communication;01/09/2020;;22/05/2025;
G0008;TG01;ALIMENTATION;ALIMENTATION;Alimentation;01/09/2020;;22/05/2025;
G0009;TG01;BEAUTE BIEN ETRE;BEAUTE ET BIEN ETRE;Beauté et bien-être;01/09/2020;;22/05/2025;
G0010;TG01;ETUDES MODEL NUM BAT;ETUDES MODELISATION NUMERIQUE BATIMENT;Etudes et modélisation numérique du bâtiment;01/09/2020;;22/05/2025;
G0011;TG01;AERONAUTIQUE;AERONAUTIQUE;Aéronautique;01/09/2020;;22/05/2025;
G0012;TG01;HOTELLERIE RESTAURAT;HOTELLERIE RESTAURATION;Hôtellerie-restauration;01/09/2020;;22/05/2025;
G0013;TG01;MAINTENANCE MAT VEHI;MAINTENANCE DES MATERIELS ET VEHICULES;Maintenance des matériels et des véhicules;01/09/2021;;22/05/2025;
G0014;TG01;REAL ENS MECAN INDUS;REALISATION ENS MECANIQUES ET INDUSTRIEL;Réalisation d'ensembles mécaniques et industriels;01/09/2021;;22/05/2025;
G0015;TG01;AGENCEMENT MENUIS A;AGENCEMENT MENUISERIE ET AMEUBLEMENT;Agencement, menuiserie et ameublement;01/09/2021;;22/05/2025;
G0016;TG01;TRANSIT NUM ENERGET;TRANSITIONS NUMERIQUE ET ENERGETIQUE;Transitions numérique et énergétique;01/09/2021;;22/05/2025;
G0017;TG01;PILOT MAINT AUTO;PILOTAGE MAINTENANCE INSTALL AUTOMATISE;Pilotage et maintenance d'installations automatisées;01/09/2021;;22/05/2025;
G0018;TG02;CUIR;CUIR;Cuir;01/09/2016;;01/07/2025;
G0019;TG02;ENTRETIEN TEXTILES;ENTRETIEN DES TEXTILES;Entretien des textiles;01/09/2021;;01/07/2025;
G0020;TG02;AMA FACTEUR D'ORGUES;ARTIS.&METIERS D'ART - FACTEUR D'ORGUES;Artisanat et métiers d'art - facteur d'orgues;01/09/2021;;01/07/2025;
G0021;TG03;TRAITEMENT MATERIAUX;TRAITEMENT DES MATERIAUX;Traitement des matériaux;01/09/2001;;01/07/2025;
G0022;TG03;CONC.PROC.REAL.PROD.;CONCEPT. DES PROC. DE REAL. DE PRODUITS;Conception des processus de réalisation de produits;01/09/2016;;01/07/2025;
G0023;TG03;ETUD.REAL.PROJ.COMM.;ETUDES DE REAL. D'UN PROJET DE COMMUN.;Etudes de réalisation d'un projet de communication;01/09/2017;;01/07/2025;
G0024;TG03;MANAG.HOTEL.-RESTAU.;MANAGEMENT EN HOTELLERIE-RESTAURATION;Management en hôtellerie-restauration;01/09/2018;;01/07/2025;
G0025;TG03;ESTHET.COSM.PARFUM.;ESTHETIQUE, COSMETIQUE ET PARFUMERIE;Esthétique, cosmétique et parfumerie;01/09/2023;;01/07/2025;
G0026;TG03;SERV.INFORM.ORGANIS.;SERVICES INFORMATIQUES AUX ORGANISATIONS;Services informatiques aux organisations;01/09/2020;;01/07/2025;
G0027;TG02;ARTIS.&METIERS D'ART;ARTISANAT ET METIERS D'ART;Artisanat et métiers d'art;01/09/2016;;02/07/2025;
G0028;TG01;PRODUCTIONS;PRODUCTIONS;Productions;01/09/2016;;22/07/2025;
G0029;TG01;CONSEIL VENTE;CONSEIL VENTE;Conseil vente;01/09/2009;;22/07/2025;
G0030;TG01;ALIM BIO IND LABO;ALIMENTATION BIO INDUSTRIE LABORATOIRE;Alimentation Bio industrie Laboratoire;01/09/2009;;22/07/2025;
G0031;TG01;NAT JARD PAYSAGE FOR;NATURE JARDIN PAYSAGE FORET;Nature Jardin Paysage Forêt;01/09/2009;;22/07/2025;
